square_id,stage,order,daily_harmonics,weekly_harmonics,aic,fit_seconds
5161,1,"(2,1,1)",2,2,88119.16808869879,1.37
5161,1,"(2,1,1)",2,4,88126.47854969752,1.67
5161,1,"(2,1,1)",2,6,88105.68804936291,2.2
5161,1,"(2,1,1)",4,2,88020.77691332504,2.02
5161,1,"(2,1,1)",4,4,88028.01826195068,2.23
5161,1,"(2,1,1)",4,6,88003.35912436625,3.17
5161,1,"(2,1,1)",6,2,87988.96464713532,2.75
5161,1,"(2,1,1)",6,4,87996.15608073582,3.2
5161,1,"(2,1,1)",6,6,87970.1196338064,3.47
5161,1,"(2,1,1)",8,2,87983.61765462434,3.18
5161,1,"(2,1,1)",8,4,87990.80561970858,3.85
5161,1,"(2,1,1)",8,6,87964.32271349522,4.11
5161,2,"(1,0,0)",8,6,89457.86156024208,3.26
5161,2,"(2,0,0)",8,6,88446.84583949874,3.51
5161,2,"(1,0,1)",8,6,87995.44081455411,7.12
5059,1,"(2,1,1)",2,2,86101.79387293558,1.46
5059,1,"(2,1,1)",2,4,86107.3539096612,1.85
5059,1,"(2,1,1)",2,6,86089.15580009118,5.62
5059,1,"(2,1,1)",4,2,86000.71086789326,1.9
5059,1,"(2,1,1)",4,4,86005.67418022492,2.25
5059,1,"(2,1,1)",4,6,85979.08672269658,5.9
5059,1,"(2,1,1)",6,2,85870.9622243383,4.2
5059,1,"(2,1,1)",6,4,85875.26117651498,4.98
5059,1,"(2,1,1)",6,6,85844.40992202095,6.84
5059,1,"(2,1,1)",8,2,85873.18891502485,6.0
5059,1,"(2,1,1)",8,4,85877.46688039649,6.89
5059,1,"(2,1,1)",8,6,85846.50090675881,8.26
5059,2,"(1,0,0)",6,6,87820.08028123704,2.84
5059,2,"(2,0,0)",6,6,86629.8545185666,3.34
5059,2,"(1,0,1)",6,6,85918.79840201561,3.33
5259,1,"(2,1,1)",2,2,83261.49752375067,6.86
5259,1,"(2,1,1)",2,4,83265.55843156324,7.34
5259,1,"(2,1,1)",2,6,83059.27163146788,5.84
5259,1,"(2,1,1)",4,2,82997.3883233644,2.8
5259,1,"(2,1,1)",4,4,83000.14984639914,4.81
5259,1,"(2,1,1)",4,6,82851.21080641904,3.68
5259,1,"(2,1,1)",6,2,82840.12228345353,2.91
5259,1,"(2,1,1)",6,4,82842.41769010582,3.54
5259,1,"(2,1,1)",6,6,82679.03988863222,3.88
5259,1,"(2,1,1)",8,2,82786.4860870312,3.42
5259,1,"(2,1,1)",8,4,82788.60528232693,3.9
5259,1,"(2,1,1)",8,6,82619.215971734,3.59
5259,2,"(1,0,0)",8,6,83570.38988040584,3.31
5259,2,"(2,0,0)",8,6,82798.36539739124,4.51
5259,2,"(1,0,1)",8,6,82687.65256666846,3.24
