model,square_id,phase,seconds,hardware,ram_gb,device
SARIMA,5161,train_grid_search_total_s,47.11,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",7.7,CPU (no GPU used)
SARIMA,5059,train_grid_search_total_s,65.66,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",7.7,CPU (no GPU used)
SARIMA,5259,train_grid_search_total_s,63.63,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",7.7,CPU (no GPU used)
SARIMA,5161,walkforward_inference_total_s,54.93,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",7.7,CPU (no GPU used)
SARIMA,5059,walkforward_inference_total_s,52.61,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",7.7,CPU (no GPU used)
SARIMA,5259,walkforward_inference_total_s,52.05,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",7.7,CPU (no GPU used)
LSTM,5161,train_total_s,60.76,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",7.7,CPU (no GPU used)
LSTM,5161,walkforward_inference_total_s,0.061,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",7.7,CPU (no GPU used)
LSTM,5059,train_total_s,61.67,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",7.7,CPU (no GPU used)
LSTM,5059,walkforward_inference_total_s,0.065,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",7.7,CPU (no GPU used)
LSTM,5259,train_total_s,311.52,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",7.7,CPU (no GPU used)
LSTM,5259,walkforward_inference_total_s,0.089,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",7.7,CPU (no GPU used)
TCN,5161,train_total_s,130.36,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",7.7,CPU (no GPU used)
TCN,5161,walkforward_inference_total_s,0.098,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",7.7,CPU (no GPU used)
TCN,5059,train_total_s,113.02,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",7.7,CPU (no GPU used)
TCN,5059,walkforward_inference_total_s,0.085,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",7.7,CPU (no GPU used)
TCN,5259,train_total_s,121.26,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",7.7,CPU (no GPU used)
TCN,5259,walkforward_inference_total_s,0.086,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",7.7,CPU (no GPU used)
